,Product Url,Product Name,Price,Rating,Review
26,https://www.amazon.in//Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",999,4.1 out of 5 stars,"(4,860)"
27,https://www.amazon.in//Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather","1,999",4.1 out of 5 stars,"(7,630)"
28,https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",899,4 Stars & Up,"(51,370)"
29,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF,ADISA Laptop Backpack 31 Ltrs,499,3 Stars & Up,"(9,226)"
30,https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,512,2 Stars & Up,"(3,368)"
31,https://www.amazon.in//Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VDVJGM,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",299,1 Star & Up,(472)
32,https://www.amazon.in//Fiesto-Fashion-Womens-Handbag-FIESTO33_Blue/dp/B082Z33ZDS,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,299",4.1 out of 5 stars,"(4,073)"
33,https://www.amazon.in//ADISA-women-girls-black-embroided/dp/B08RWBP3H2,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,"(1,412)"
34,https://www.amazon.in//Lapis-Lupo-Flower-Embroidery-Handbag/dp/B07RXYSJHF,Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"(3,600)"
35,https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),312.,3.8 out of 5 stars,(462)
36,https://www.amazon.in//Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",615,3.9 out of 5 stars,"(12,103)"
37,https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",495,4.2 out of 5 stars,"(7,630)"
38,https://www.amazon.in//Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping","1,039",4.2 out of 5 stars,"(2,184)"
39,https://www.amazon.in//Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,DEIN KLEIDER Men's Nylon Messenger Bag,"1,201",3.9 out of 5 stars,"(4,396)"
